Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,29.67342,Build,Factory,2,14,1,1,4000,3250,3,3,0,Can't place building at specified location
1,30.85676,Build,Factory,1,14,1,1,3250,2050,3,1,1,
1,34.79057,Build,SmallHouse,17,6,1,1,2050,1550,1,0,1,
2,42.44081,Build,SmallHouse,11,14,1,1,1550,1634,4,3,1,
2,47.39233,Build,Supply,17,0,1,1,1634,834,3,2,1,
2,50.10879,Build,SmallHouse,22,6,1,1,834,334,2,1,1,
3,61.10964,Upgrade,SmallHouse,11,14,2,2,334,1627,4,4,1,
3,71.5592,Build,Factory,1,22,1,1,1627,427,4,2,1,
4,83.39008,Build,SmallHouse,22,1,1,1,427,370,5,4,1,
5,88.75445,Build,SmallHouse,27,1,1,1,370,1328,5,4,1,
5,90.37265,Build,SmallHouse,27,6,1,1,1328,828,4,3,1,
5,98.23888,Build,SmallHouse,33,6,1,1,828,28,3,2,1,
6,107.9463,Build,SmallHouse,27,10,1,1,28,428,5,4,1,
7,115.6721,Build,SmallHouse,33,10,1,1,428,1174,5,4,1,
7,117.8579,Build,SmallHouse,32,1,1,1,1174,674,4,3,1,
7,121.6499,Build,SmallHouse,37,2,1,1,674,174,3,2,1,
8,135.2899,Build,SmallHouse,33,14,1,1,174,876,5,4,1,
8,138.242,Build,SmallHouse,27,14,1,1,876,376,4,3,1,
9,156.3666,Build,Factory,9,22,1,1,376,1946,5,5,0,Can't place building at specified location
9,157.1217,Build,Factory,10,22,1,1,1946,1946,5,5,0,Can't place building at specified location
9,157.8736,Build,Factory,10,23,1,1,1946,746,5,3,1,
9,167.9807,Build,SmallHouse,33,18,1,1,746,46,3,2,1,
10,171.4914,Build,SmallHouse,27,18,1,1,46,1200,6,5,1,
10,175.6991,Build,SmallHouse,11,18,1,1,1200,700,5,4,1,
11,183.2143,Build,SmallHouse,16,18,1,1,700,2474,6,5,1,
11,195.9414,Build,SmallHouse,23,18,1,1,2474,1974,5,5,0,Can't place building at specified location
11,196.5004,Build,SmallHouse,22,18,1,1,1974,1474,5,4,1,
11,201.1798,Build,SmallHouse,22,22,1,1,1474,974,4,3,1,
11,204.1439,Build,SmallHouse,16,14,1,1,974,474,3,2,1,
12,210.7424,Build,SmallHouse,22,14,1,1,474,2033,6,5,1,
12,215.4784,Build,SmallHouse,22,10,1,1,2033,1383,5,4,1,
12,237.0777,Build,SmallHouse,27,23,1,1,1383,633,4,3,1,
12,238.8447,Build,SmallHouse,33,22,1,1,633,133,3,2,1,
13,250.94,Build,Factory,10,32,1,1,133,878,6,4,1,
13,257.7589,Build,SmallHouse,33,26,1,1,878,228,4,3,1,
14,269.7064,Build,SmallHouse,39,6,1,1,228,1907,7,6,1,
14,271.8445,Build,SmallHouse,39,10,1,1,1907,1407,6,5,1,
14,278.0164,Build,SmallHouse,39,14,1,1,1407,707,5,4,1,
14,281.8257,Build,SmallHouse,39,18,1,1,707,7,4,3,1,
15,307.9156,Build,BigHouse,38,24,1,1,7,2172,7,7,0,No road access for building
15,310.5085,Build,SmallHouse,38,23,1,1,2172,1672,7,6,1,
15,313.6678,Build,Supply,43,23,1,1,1672,872,6,5,1,
15,317.8777,Build,SmallHouse,44,18,1,1,872,372,5,4,1,
16,326.7976,Build,SmallHouse,44,14,1,1,372,3300,7,6,1,
16,331.4093,Build,SmallHouse,44,10,1,1,3300,2450,6,5,1,
