Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1770,50,480,3,3,0,0,1,0,2,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,1,0,620
3,2430,150,480,3,2,0,0,3,0,2,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,3,0,860
4,1330,250,720,3,3,0,0,5,0,3,0,0,23,0.8,0.8,0.8,0,0,0,0,0,0,0,5,0,1100
5,1370,350,720,3,2,0,0,7,0,3,0,0,29,0.8000001,0.8,0.8,0,0,0,0,0,0,0,7,0,1340
6,1530,400,960,3,2,0,0,8,0,4,0,0,29,0.8000001,0.8,0.8,0,0,0,0,0,0,0,8,0,1460
7,2360,450,960,3,1,0,0,9,0,4,0,0,34,0.8000001,0.8,0.8,0,0,0,0,0,0,0,9,0,1580
8,3310,500,1200,3,2,0,0,10,0,5,0,0,39,0.8000001,0.8,0.8,0,0,0,0,0,0,0,10,0,1700
9,3250,600,1200,3,2,0,0,12,0,5,0,0,59,0.8000001,0.8,0.8,0,0,0,0,0,0,0,12,0,1940
10,4030,700,1200,3,2,0,0,14,0,5,0,0,67,0.8000001,0.8,0.8,0,0,0,0,0,0,0,14,0,2180
11,5450,800,1440,3,3,0,0,16,0,6,0,0,67,0.8000001,0.8,0.8,0,0,0,0,0,0,0,16,0,2420
12,5590,850,1920,3,3,0,0,17,0,8,0,0,73,0.8000001,0.8,0.8,0,0,0,0,0,0,0,17,0,2540
13,5190,1006,1920,3,3,2,0,20,0,8,0,0,95,0.8000001,0.8,0.8,0,0,0,0,0,0,0,20,0,2900
14,4980,1112,2160,3,3,2,0,22,0,9,0,0,112,0.8,0.8,0.8,0,0,0,0,0,0,0,22,0,3140
15,7490,1162,2160,3,3,0,1,23,0,9,0,0,112,0.8,0.8,0.8,0,0,0,0,0,0,0,23,0,3260
16,10920,1212,2160,3,3,0,1,24,0,9,0,0,112,0.8,0.8,0.8,0,0,0,0,0,0,0,24,0,3380
17,11410,1368,2160,3,3,2,0,27,0,9,0,0,133,0.7999999,0.8,0.8,0,0,0,0,0,0,0,27,0,3740
18,13200,1368,2640,3,2,0,0,27,0,11,0,0,140,0.7999999,0.8,0.8,0,0,0,0,0,0,0,27,0,3740
19,14430,1483,2640,3,2,7,0,29,0,11,0,0,140,0.7999998,0.8,0.8,0,0,0,0,0,0,0,29,0,3980
20,16950,1589,2640,3,2,2,0,31,0,11,0,0,140,0.7999998,0.8,0.8,0,0,0,0,0,0,0,31,0,4220
21,15690,1784,3120,3,2,9,0,31,1,12,0,0,140,0.7999998,0.8,0.8,0,0,0,0,0,0,0,32,0,4440
