Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,12.85894,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,14.40956,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,16.70841,Build,SmallHouse,23,6,1,1,2250,1750,1,0,1,
2,23.55416,Build,SmallHouse,23,1,1,1,1750,2002,3,2,1,
2,28.8726,Build,SmallHouse,5,14,1,1,2002,1502,2,1,1,
2,30.70574,Build,SmallHouse,10,14,1,1,1502,1502,1,1,0,Can't place building at specified location
2,31.27233,Build,SmallHouse,11,14,1,1,1502,1002,1,0,1,
3,50.16836,Build,SmallHouse,5,18,1,1,1002,2306,3,2,1,
3,53.72085,Build,SmallHouse,11,18,1,1,2306,1806,2,1,1,
3,55.42083,Build,SmallHouse,5,22,1,1,1806,1306,1,0,1,
4,104.1032,Build,Supply,11,22,1,1,1306,1762,3,2,1,
4,108.4065,Build,SmallHouse,5,26,1,1,1762,1012,2,1,1,
4,109.9034,Build,SmallHouse,11,27,1,1,1012,512,1,0,1,
5,120.2693,Build,SmallHouse,18,10,1,1,512,1126,3,2,1,
5,124.1722,Build,SmallHouse,28,1,1,1,1126,176,2,1,1,
5,125.7732,Build,SmallHouse,29,6,1,1,176,176,1,1,0,Not enough gold
6,131.8231,Build,SmallHouse,23,10,1,1,176,908,3,2,1,
6,137.6246,Build,SmallHouse,33,1,1,1,908,158,2,1,1,
7,142.5595,Build,Supply,29,6,1,1,158,1108,3,2,1,
7,144.8291,Build,SmallHouse,34,6,1,1,1108,608,2,1,1,
7,146.2172,Build,SmallHouse,29,11,1,1,608,108,1,0,1,
8,155.0552,Build,SmallHouse,23,14,1,1,108,2220,3,2,1,
8,160.9958,Build,Service,16,14,1,1,2220,1320,2,0,1,
9,166.4033,Build,SmallHouse,29,15,1,1,1320,2972,3,2,1,
9,167.861,Build,SmallHouse,24,18,1,1,2972,2972,2,2,0,Can't place building at specified location
9,168.4,Build,SmallHouse,23,18,1,1,2972,2472,2,1,1,
9,170.309,Build,SmallHouse,29,19,1,1,2472,1972,1,0,1,
10,177.8737,Build,BigHouse,21,22,1,1,1972,2631,3,2,1,
10,183.9854,Build,SmallHouse,29,23,1,1,2631,2131,2,1,1,
10,193.0841,Build,SmallHouse,34,10,1,1,2131,931,1,0,1,
11,197.1438,Build,SmallHouse,33,14,1,1,931,3457,3,3,0,Can't place building at specified location
11,198.6882,Build,SmallHouse,34,14,1,1,3457,2957,3,2,1,
11,203.0692,Build,SmallHouse,38,1,1,1,2957,2457,2,1,1,
11,205.0201,Build,SmallHouse,40,6,1,1,2457,1957,1,0,1,
12,209.309,Build,SmallHouse,40,10,1,1,1957,4235,3,2,1,
12,211.5105,Build,SmallHouse,40,14,1,1,4235,3735,2,1,1,
12,219.7617,Build,SmallHouse,35,18,1,1,3735,3385,1,1,0,Can't place building at specified location
12,220.3791,Build,SmallHouse,34,18,1,1,3385,2885,1,0,1,
13,234.209,Build,Supply,5,30,1,1,2885,4715,3,2,1,
13,236.547,Build,Supply,12,31,1,1,4715,4715,2,2,0,No road access for building
13,237.1328,Build,Supply,11,31,1,1,4715,3915,2,1,1,
13,240.2233,Build,Supply,4,35,1,1,3915,3915,1,1,0,No road access for building
13,241.4105,Build,Supply,5,35,1,1,3915,3115,1,0,1,
14,247.1793,Build,SmallHouse,34,22,1,1,3115,6343,3,2,1,
14,248.6732,Build,SmallHouse,40,18,1,1,6343,5843,2,1,1,
14,250.368,Build,SmallHouse,40,22,1,1,5843,5343,1,0,1,
15,265.6423,Build,SmallHouse,34,26,1,1,5343,8239,3,2,1,
15,267.2703,Build,SmallHouse,40,26,1,1,8239,7739,2,1,1,
15,270.7013,Build,SmallHouse,29,27,1,1,7739,7089,1,0,1,
16,333.1694,Build,SmallHouse,23,28,1,1,7089,11373,3,2,1,
16,337.438,Build,SmallHouse,34,30,1,1,11373,10623,2,1,1,
16,338.9891,Build,SmallHouse,40,30,1,1,10623,10123,1,0,1,
