Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3250,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2502,105,0,3,3,0,0,3,0,0,0,0,15,0.5,0.5,0.5,0,0,0,0,0,0,0,3,0,752
3,2806,210,0,3,3,0,0,6,0,0,0,0,15,0.5,0.5,0.5,0,0,0,0,0,0,0,6,0,1004
4,2562,315,0,3,3,0,0,9,0,0,0,0,15,0.5,0.5,0.5,0,0,0,0,0,0,0,9,0,1256
5,1626,381,240,3,3,0,0,11,0,1,0,0,26,0.4927273,0.46,0.5,0.01818182,0,0.1,0,0,0,2,11,0,1414
6,1758,451,240,3,2,0,0,13,0,1,0,0,35,0.4938461,0.46,0.5,0.01538462,0,0.1,0,0,0,2,13,0,1582
7,1908,521,240,3,2,0,0,15,0,1,0,0,47,0.4946667,0.46,0.5,0.01333333,0,0.1,0,0,0,2,15,0,1750
8,3020,672,480,3,3,0,0,17,0,2,0,0,47,0.5905883,0.56,0.6,0.02352941,0,0.1,0,0,0,4,17,0,2112
9,3472,846,480,3,3,0,0,18,0,2,1,0,55,0.6188889,0.56,0.7,0.02222222,0,0.1,0.1388889,0,0.5,4,13,0,2152
10,3831,876,480,3,3,0,0,21,0,2,1,0,62,0.5209524,0.46,0.6,0.01904762,0,0.1,0.1428571,0,0.5,4,15,0,2209
11,3457,1028,480,3,3,0,0,23,1,2,1,0,76,0.5166667,0.46,0.6,0.02083333,0,0.1,0.125,0,0.5,5,18,0,2526
12,4735,1133,480,3,3,0,0,26,1,2,1,0,76,0.5148149,0.46,0.6,0.01851852,0,0.1,0.1111111,0,0.5,5,21,0,2778
13,5515,1238,480,3,3,0,0,29,1,2,1,0,91,0.5133334,0.46,0.6,0.01666667,0,0.1,0.1,0,0.5,5,24,0,3030
14,6843,1546,1200,3,3,0,0,29,1,5,1,0,91,0.6906668,0.6,0.78,0.02333334,0,0.2,0.1,0,0.5,6,24,0,3728
15,9039,1523,1200,3,3,0,0,32,1,5,1,0,91,0.6096971,0.52,0.7,0.02121212,0,0.2,0.09090909,0,0.5,6,27,0,3696
16,11873,1643,1200,3,3,0,0,35,1,5,1,0,100,0.608889,0.52,0.7,0.01944445,0,0.2,0.08333334,0,0.5,6,30,0,3984
17,14095,1763,1200,3,3,0,0,38,1,5,1,0,111,0.6082053,0.52,0.7,0.01794872,0,0.2,0.07692308,0,0.5,6,33,0,4272
18,10863,1850,1200,3,3,9,0,39,3,5,1,0,122,0.507619,0.42,0.6,0.01666667,0,0.2,0.07142857,0,0.5,6,36,0,4168
19,12492,1867,1200,4,3,0,0,39,4,5,1,1,126,0.4976745,0.36,0.6,0.0372093,0,0.3,0.06976745,0,0.5,9,37,0,4229
20,10785,2085,1200,4,4,9,0,41,6,5,1,1,136,0.491915,0.36,0.6,0.04680851,0,0.3,0.06382979,0,0.5,11,41,0,4643
21,8944,2505,1200,4,4,2,0,41,10,5,1,1,152,0.4925491,0.36,0.6,0.04313725,0,0.3,0.05882353,0,0.5,11,45,0,5259
