Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,8.397115,Build,Supply,5,14,1,1,4000,2450,3,2,1,
1,12.86362,Build,SmallHouse,17,1,1,1,2450,1950,2,1,1,
1,15.71509,Build,SmallHouse,22,1,1,1,1950,1450,1,0,1,
2,36.57935,Build,Service,17,6,1,1,1450,1040,3,1,1,
2,57.4119,Build,SmallHouse,27,1,1,1,1040,190,1,0,1,
3,66.2784,Build,BigHouse,18,12,1,1,190,1690,3,3,0,Can't place building at specified location
3,68.062,Build,BigHouse,17,12,1,1,1690,490,3,2,1,
3,71.9277,Upgrade,SmallHouse,17,1,2,2,490,140,2,2,1,
4,81.89452,Build,Supply,11,14,1,1,140,301,3,2,1,
5,96.41049,Build,Service,25,6,1,1,301,1003,3,1,1,
5,108.1434,Build,SmallHouse,32,1,1,1,1003,303,1,0,1,
6,159.2754,Build,BigHouse,32,6,1,1,303,10,3,2,1,
7,166.746,Build,Supply,5,19,1,1,10,619,3,2,1,
8,175.9026,Build,Supply,11,19,1,1,619,2028,3,2,1,
8,180.5695,Build,Supply,5,24,1,1,2028,1078,2,1,1,
8,190.3521,Build,SmallHouse,25,12,1,1,1078,578,1,0,1,
9,210.163,Build,Factory,10,25,1,1,578,1653,3,3,0,Can't place building at specified location
9,211.9473,Build,Factory,11,25,1,1,1653,453,3,1,1,
9,216.6979,Upgrade,SmallHouse,27,1,2,2,453,103,1,1,1,
10,226.5116,Build,SmallHouse,30,12,1,1,103,1228,4,3,1,
10,240.6635,Build,Service,39,6,1,1,1228,28,3,1,1,
11,250.5191,Upgrade,Supply,5,24,2,2,28,1612,4,4,1,
11,251.552,Upgrade,Supply,5,19,2,2,1612,1012,4,4,1,
11,252.4355,Upgrade,Supply,11,19,2,2,1012,412,4,4,1,
12,275.6685,Build,BigHouse,46,6,1,1,412,396,4,3,1,
12,278.5418,Upgrade,SmallHouse,32,1,2,2,396,46,3,3,1,
13,288.894,Upgrade,Service,25,6,2,2,46,1282,4,4,1,
13,292.6286,Upgrade,SmallHouse,22,1,2,2,1282,932,4,4,1,
13,293.6447,Upgrade,SmallHouse,17,1,2,2,932,932,4,4,1,Upgrade failed - already at max level
13,294.5454,Upgrade,SmallHouse,27,1,2,2,932,932,4,4,1,Upgrade failed - already at max level
13,295.5788,Upgrade,SmallHouse,30,12,2,2,932,582,4,4,1,
13,296.331,Upgrade,SmallHouse,25,12,2,2,582,232,4,4,1,
14,311.8867,Build,SmallHouse,35,12,1,1,232,1668,4,3,1,
14,317.4745,Build,SmallHouse,40,12,1,1,1668,718,3,2,1,
14,319.5585,Build,SmallHouse,45,12,1,1,718,218,2,1,1,
15,328.5018,Build,Supply,5,29,1,1,218,1849,4,3,1,
15,335.0397,Build,Supply,5,34,1,1,1849,749,3,2,1,
15,343.8252,Build,SmallHouse,37,1,1,1,749,249,2,1,1,
16,369.5724,Build,Service,24,17,1,1,249,2845,4,2,1,
16,379.877,Build,Service,40,17,1,1,2845,2045,2,0,1,
17,388.0848,Build,BigHouse,31,18,1,1,2045,4447,4,4,0,No road access for building
17,389.7207,Build,BigHouse,32,17,1,1,4447,3247,4,3,1,
17,394.9469,Upgrade,BigHouse,32,17,2,2,3247,2497,3,3,1,
17,396.1277,Upgrade,Service,24,17,2,2,2497,1797,3,3,1,
17,396.8746,Upgrade,Service,40,17,2,2,1797,1097,3,3,1,
17,398.8216,Upgrade,SmallHouse,40,12,2,2,1097,747,3,3,1,
17,399.4547,Upgrade,SmallHouse,45,12,2,2,747,397,3,3,1,
18,413.1202,Build,Supply,11,33,1,1,397,2395,4,3,1,
18,420.017,Build,Supply,5,39,1,1,2395,1345,3,2,1,
18,430.5972,Build,SmallHouse,42,1,1,1,1345,845,2,1,1,
18,432.5782,Build,SmallHouse,47,1,1,1,845,345,1,0,1,
19,474.6797,Build,BigHouse,47,17,1,1,345,1873,4,3,1,
19,480.3492,Build,SmallHouse,50,12,1,1,1873,973,3,2,1,
19,483.4841,Build,SmallHouse,55,12,1,1,973,473,2,1,1,
20,490.9908,Upgrade,BigHouse,47,17,2,2,473,3393,4,4,1,
20,492.9137,Upgrade,BigHouse,32,17,2,2,3393,3393,4,4,1,Upgrade failed - already at max level
20,494.2537,Upgrade,SmallHouse,50,12,2,2,3393,3043,4,4,1,
20,494.845,Upgrade,SmallHouse,55,12,2,2,3043,2693,4,4,1,
20,495.5866,Upgrade,SmallHouse,45,12,2,2,2693,2693,4,4,1,Upgrade failed - already at max level
20,496.1806,Upgrade,SmallHouse,40,12,2,2,2693,2693,4,4,1,Upgrade failed - already at max level
20,502.0916,Build,Service,52,6,1,1,2693,2693,4,4,0,Can't place building at specified location
20,503.083,Build,Service,53,6,1,1,2693,1893,4,2,1,
20,507.7275,Build,BigHouse,60,6,1,1,1893,393,2,1,1,
