Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1830,100,720,3,2,0,0,2,0,3,0,0,21,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
4,1210,270,720,3,2,0,0,3,1,3,0,0,21,0.8,0.8,0.8,0,0,0,0,0,0,0,4,0,1080
5,1560,320,720,3,1,0,0,4,1,3,0,0,28,0.8,0.8,0.8,0,0,0,0,0,0,0,5,0,1200
6,1780,440,720,3,1,0,0,4,2,3,0,0,28,0.8,0.8,0.8,0,0,0,0,0,0,0,6,0,1420
7,1737,667,720,3,3,0,0,5,2,3,1,0,33,0.8571429,0.8,0.9,0,0,0,0.2857143,0,0.5,0,3,0,1507
8,2644,667,960,3,1,0,0,5,2,4,1,0,45,0.8571429,0.8,0.9,0,0,0,0.2857143,0,0.5,0,3,0,1507
9,2021,717,1320,3,2,1,0,6,2,5,1,0,52,0.8500001,0.8,0.9,0,0,0,0.25,0,0.5,0,4,0,1627
10,1950,915,1560,3,2,0,0,6,3,6,1,0,52,0.8555557,0.8,0.9,0,0,0,0.2777778,0,0.5,0,4,0,1929
11,3319,1085,1560,3,2,0,0,7,4,6,1,0,52,0.8454546,0.8,0.9,0,0,0,0.2272727,0,0.5,0,6,0,2269
12,3338,1155,1800,3,3,0,1,6,5,7,1,0,64,0.8454546,0.8,0.9,0,0,0,0.2272727,0,0.5,0,6,0,2369
13,3049,1453,1800,3,3,0,0,8,6,7,1,0,84,0.8428572,0.8,0.9,0,0,0,0.2142857,0,0.5,0,8,0,2911
14,3630,1503,2280,3,3,0,0,9,6,9,1,0,91,0.8400001,0.8,0.9,0,0,0,0.2,0,0.5,0,9,0,3031
15,4165,1899,2280,3,2,0,0,9,8,9,1,0,105,0.8470588,0.8,0.9,0,0,0,0.2352941,0,0.5,0,9,0,3635
16,5770,2019,2760,3,3,0,0,9,9,11,1,0,110,0.8444445,0.8,0.9,0,0,0,0.2222222,0,0.5,0,10,0,3855
17,5485,2379,3000,3,3,2,0,9,12,11,1,0,110,0.8380952,0.8,0.9,0,0,0,0.1904762,0,0.5,0,13,0,4515
18,8134,2655,3000,3,3,0,0,9,13,11,2,0,110,0.8454545,0.8,0.9,0,0,0,0.2272727,0,0.5,0,12,0,4649
19,9835,2853,3480,3,3,0,0,9,14,13,2,0,119,0.847826,0.8,0.9,0,0,0,0.2391304,0,0.5,0,12,0,4951
20,5746,3867,3480,3,3,12,0,9,17,13,2,0,136,0.8423075,0.8,0.9,0,0,0,0.2115385,0,0.5,0,15,0,5611
21,5827,3920,4440,3,1,9,0,10,17,13,2,0,136,0.8407406,0.8,0.9,0,0,0,0.2037037,0,0.5,0,16,0,5731
