session_id,avg_action_intensity,std_action_intensity,avg_upgrade_ratio,avg_demolish_ratio,avg_build_ratio,avg_build_house_ratio,avg_build_factory_ratio,avg_build_service_ratio,avg_build_supply_ratio,avg_build_road_ratio,avg_house_per_turn,avg_factory_per_turn,avg_service_per_turn,avg_supply_per_turn,avg_road_per_turn,avg_gold_per_population,avg_tax_per_population,avg_population_per_ap,avg_house_per_road,avg_bad_placement,avg_no_service,avg_low_satisfaction,avg_population_growth,avg_gold_growth,avg_supply_growth,avg_ap_growth,avg_satisfaction_growth,avg_service_growth,avg_pollution_growth,avg_tax_income_growth,std_population_growth,std_gold_growth,std_supply_growth,std_satisfaction_growth,std_service_growth,std_pollution_growth,avg_satisfaction_index,avg_service_index,avg_pollution_index,total_population_growth,total_gold_growth,total_supply_growth,total_ap_growth,total_tax_income_growth,supply_efficiency,avg_supply_ratio,min_supply_ratio,service_to_house,factory_to_house,used_service_early,used_factory_early,early_service_ratio,early_factory_ratio,early_service_to_house,early_factory_to_house,final_turn,final_gold,final_population,final_supply,final_ap,final_satisfaction,final_service,final_pollution,final_tax_income
20260406_022221,0.765625,0.29692677423778957,0.02976190476190476,0.002717391304347826,0.9050207039337475,0.2972033175158175,0.0078125,0.015224358974358974,0.050967261904761904,0.5662925616050616,1.625,0.0625,0.125,0.3125,6.375,3.6445201420658653,2.5603808270307953,347.8645833333333,0.18411935286935288,0.2187467336799767,0.8367710607890562,0.0,120.375,66.1875,75.0,0.0625,0.03697115625,0.0084134625,0.0048076925,215.3125,86.64554229733922,700.9914139987736,114.89125293076057,0.14359311268093128,0.022785822527220296,0.01114388848133302,0.5705724437499999,0.05036447375,0.0309135174375,1926,1059,1200,1,3445,0.6230529595015576,0.6817239470115879,0.0,0.07692302958582795,0.03846151479291397,0,0,0.0,0.0,0.0,0.0,16,4309,2725.0,1200.0,2725.0,0.4865,0.1,0.0725,4634.0
20260406_024805,0.7760416666666666,0.28982553819943574,0.036458333333333336,0.011458333333333334,0.8895833333333334,0.21785435674165649,0.00625,0.00390625,0.07016594516594515,0.6393234480923984,1.5625,0.0625,0.0625,0.5,8.0625,4.815848960356089,2.962433882957738,299.33854166666663,0.15093475227472905,0.0,0.8842857142857143,0.0,145.0625,145.1875,120.0,0.0625,0.0505,0.00875,0.0,289.75,141.693316120886,639.156654636926,247.8709341572747,0.21423282003181185,0.03576899405986512,0.0,0.70157144375,0.026607137499999996,0.0,2321,2323,1920,1,4636,0.8272296423955192,1.064585230829986,0.5962732919254659,0.03999997440001639,0.03999997440001639,0,0,0.0,0.0,0.0,0.0,16,5573,4360.0,3360.0,4360.0,0.767027,0.1351351,0.0,6649.0
20260406_050133,0.5572916666666667,0.2802755753685079,0.00625,0.002840909090909091,0.928409090909091,0.32218567788420727,0.0661764705882353,0.020833333333333332,0.04509379509379509,0.483210723100429,1.375,0.125,0.0625,0.375,6.4375,3.638294010935255,2.856982389684968,308.875,0.273363788988789,0.48609845016095016,0.7979719065656565,0.0,103.875,84.5625,90.0,0.125,0.046022725,0.008522725,0.0105113625,217.8125,101.55056211891034,781.9569441471825,148.59340496805368,0.2138966405495062,0.06539136851281928,0.034310378951207074,0.56532406875,0.06976404375,0.10168809999999999,1662,1353,1440,2,3485,0.8664259927797834,0.7731548029240666,0.42328042328042326,0.04545451239671826,0.09090902479343652,0,0,0.0,0.0,0.0,0.0,16,4603,2234.0,1440.0,2234.0,0.4664865,0.08108108,0.1162162,4232.0
20260406_051143,0.4114583333333333,0.23528696033504215,0.0,0.03125,0.90625,0.3672213203463204,0.06944444444444445,0.0,0.07291666666666667,0.4279175685425685,1.4375,0.1875,0.0,0.125,3.875,10.127206642629766,4.748299610727381,185.49479166666666,0.17644074675324675,0.7008744878310096,0.9375,0.0,50.125,13.8125,30.0,0.1875,0.0271195625,0.0,0.008695650000000001,147.0,33.17403603221451,650.1980435477589,81.97560612767678,0.11796605974549275,0.0,0.11014120195736621,0.47547334375,0.0,0.211636125,802,221,480,3,2352,0.5985037406483791,0.7772104102120748,0.0,0.0,0.1304346918715187,0,1,0.0,0.13333332444444504,0.0,0.399999920000016,16,3471,1623.0,1200.0,1623.0,0.5314285,0.0,0.1452381,4307.0
20260406_053033,0.5641369047619047,0.25779674174223005,0.0,0.004166666666666667,0.9333333333333333,0.30542292674645616,0.04464869281045752,0.005681818181818182,0.051515151515151514,0.5302314107461166,1.9375,0.25,0.0625,0.25,5.625,5.275767964047253,3.584231277877522,177.44375,0.25997700216450215,0.4962833885927329,0.9170071684587814,0.0,79.1875,50.8125,60.0,0.25,0.033709675,0.00302419375,0.0106854875,197.4375,65.43110244116835,540.3872955267052,107.33126291998991,0.2178509914243847,0.015329292004274202,0.039401364620588714,0.64363860625,0.01024641625,0.10349143999999999,1267,813,960,4,3159,0.7576953433307024,1.1338858550310462,0.7576953433307024,0.03225804786681401,0.12903219146725603,0,1,0.0,0.09523809070294806,0.0,0.399999920000016,16,4063,2331.0,2160.0,2331.0,0.6813044,0.07608695,0.1739131,5258.0
20260406_144250,0.6895833333333334,0.2709294701168143,0.0,0.0,0.9375,0.21409588675213675,0.018055555555555554,0.0234375,0.06247996794871795,0.6194310897435897,1.75,0.1875,0.1875,0.5,6.25,4.61758186756815,2.920782261656888,260.0229166666667,0.2597274253524254,0.0,0.6627987463924964,0.0,143.4375,121.9375,120.0,0.1875,0.0535714125,0.0189732125,0.0,264.4375,125.22671107502052,676.4445745957314,175.27121840165316,0.20174161996194004,0.06515255747328087,0.0,0.77395795,0.16270651875,0.0,2295,1951,1920,3,4231,0.8366013071895425,1.1646895141187295,0.7138607971445569,0.10714279591840234,0.10714279591840234,0,1,0.0,0.03999999840000006,0.0,0.16666663888889352,16,5201,4124.0,3600.0,4124.0,0.8614997,0.3375,0.0025,6695.0
20260406_153046,0.3644345238095238,0.2072795913425883,0.03125,0.0,0.90625,0.2659564393939394,0.14283459595959597,0.0,0.078125,0.45058396464646466,1.1875,0.375,0.0,0.1875,4.375,9.987598117413047,4.9453163446638015,177.453125,0.114484126984127,0.662143138294454,0.9375,0.0,45.1875,2.25,45.0,0.375,0.034934212500000006,0.0,0.017105262499999996,139.5625,40.04200919034908,515.5768937155091,96.74709297958259,0.11989799210586126,0.0,0.11644463807573607,0.50196565,0.0,0.21826806875,723,36,720,6,2233,0.995850622406639,0.7066927948911065,0.0,0.0,0.31578920775645664,0,1,0.0,0.08695651795841226,0.0,0.399999920000016,16,3286,856.0,720.0,856.0,0.3413793,0.06896552,0.3931035,2215.0
20260406_190336,0.6875,0.30956959368344517,0.00625,0.004464285714285714,0.9267857142857143,0.314129356452726,0.0,0.008928571428571428,0.11239316239316238,0.5020489097255402,1.125,0.0,0.0625,0.6875,5.9375,5.039607166696015,2.916207167001059,388.68749999999994,0.07008928571428572,0.0,0.6343057677616502,0.0,126.1875,157.5,172.5,0.0,0.05277778125,0.013888887499999999,0.0,240.9375,112.71806643125139,720.5147234211572,195.80602646496865,0.1998254054157286,0.07524777563487065,0.0,0.7803194625,0.1515971125,0.0,2019,2520,2760,0,3855,1.3670133729569094,2.035823354739231,1.0794602698650675,0.05555550617288341,0.0,0,0,0.0,0.0,0.0,0.0,16,5770,3920.0,4440.0,3920.0,0.8407406,0.2037037,0.0,5731.0
20260406_192845,0.625,0.2950204010522612,0.18297661768056506,0.0,0.7545233823194349,0.3394097222222222,0.0,0.03125,0.19422348484848484,0.37261679292929295,1.25,0.0,0.0625,0.5,5.0625,4.324820872397707,2.686633357517544,470.4791666666667,0.058276098901098895,0.0,0.6075369891546363,0.0,108.5,62.4375,120.0,0.0,0.0525,0.012499999999999999,0.0,209.1875,89.08871982467814,551.308621221665,151.7893276880822,0.19981566950318988,0.0694564193737819,0.0,0.78299634375,0.1649815125,0.0,1736,999,1920,0,3347,1.1059907834101383,1.5189543018515441,0.933852140077821,0.049999960000032005,0.0,1,0,0.04347825897920613,0.0,0.16666663888889352,0.0,16,4249,2859.0,3480.0,2859.0,0.8285712,0.1428571,0.0,4907.0
20260406_202420,0.7708333333333333,0.29107081994288303,0.010311447811447811,0.0625,0.8646885521885522,0.366460137085137,0.0,0.0,0.1253742784992785,0.44566558441558446,1.5,0.0,0.0,0.5625,6.0625,7.88622858657733,3.7865376014023355,246.70833333333331,0.10962566844919786,0.0,0.9375,0.0,75.75,479.375,135.0,0.0,0.05,0.0,0.0,211.25,37.650143868693696,1230.0377704227894,174.58522274236157,0.20000000000000334,0.0,0.0,0.75000005625,0.0,0.0,1212,7670,2160,0,3380,1.7821782178217822,2.662374828696875,1.7142857142857142,0.0,0.0,0,0,0.0,0.0,0.0,0.0,16,10920,1784.0,3120.0,1784.0,0.7999998,0.0,0.0,4440.0
